vehicle,file,start_time,end_time,duration_hours,driving_minutes,odometer_start,soc_start,soc_end,soc_used,distance_km,avg_speed,max_speed,pct_ac_on,avg_accel_xy,max_accel_xy,avg_altitude,altitude_range,implied_range_km
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-03 09:15:00,2026-08-03 10:00:01,0.7502777777777778,35,8882.0,80.0,70.0,10.0,19.0,28.285714285714285,44.0,100.0,0.5255249232570898,1.5,201.14285714285714,9.0,190.0
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-04 06:10:00,2026-08-04 11:35:01,5.416944444444445,260,9166.0,91.0,51.0,40.0,76.0,17.346153846153847,73.0,100.0,0.4972752006690409,1.5769590990257167,206.34615384615384,27.0,190.0
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-04 20:50:01,2026-08-05 01:10:00,4.333055555555555,200,9374.0,70.0,28.0,42.0,107.0,28.25,61.0,100.0,0.42849858898030474,1.6868017073740469,204.4,69.0,254.76190476190476
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-06 12:55:00,2026-08-06 19:00:00,6.083333333333333,290,9776.0,84.0,36.0,48.0,116.0,20.724137931034484,67.0,100.0,0.3670644967106203,2.1,216.05172413793105,61.0,241.66666666666666
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-06 19:40:01,2026-08-07 02:25:00,6.749722222222222,270,9898.0,82.0,31.0,51.0,150.0,31.27777777777778,67.0,100.0,0.4128844657832735,1.871095935541521,204.42592592592592,238.0,294.11764705882354
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-07 07:30:01,2026-08-07 14:05:01,6.583333333333333,305,10060.0,56.0,9.0,47.0,97.0,14.98360655737705,75.0,100.0,0.4263115089906487,2.6566332076521215,224.9672131147541,41.0,206.38297872340425
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-07 14:55:00,2026-08-07 18:25:01,3.500277777777778,150,10157.0,81.0,53.0,28.0,51.0,16.366666666666667,53.0,100.0,0.28171854538253044,1.4700340132119392,219.6,37.0,182.14285714285714
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-08 11:55:00,2026-07-08 18:25:00,6.5,230,2825.0,67.0,32.0,35.0,74.0,20.52173913043478,67.0,100.0,0.41845772290895056,1.94,223.6086956521739,71.0,211.42857142857144
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-09 02:40:00,2026-07-09 10:05:00,7.416666666666667,430,2902.0,85.0,13.0,72.0,168.0,24.686046511627907,70.0,100.0,0.4008527951549813,2.1273457640919586,218.87209302325581,277.0,233.33333333333334
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-12 11:30:01,2026-07-12 18:10:00,6.666388888888889,310,3601.0,77.0,32.0,45.0,90.0,17.596774193548388,77.0,100.0,0.38150185520252056,2.6909106265351883,204.75806451612902,20.0,200.0
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-14 10:35:00,2026-07-14 17:25:00,6.833333333333333,135,4216.0,42.0,18.0,24.0,54.0,23.59259259259259,60.0,100.0,0.2849473707309658,0.97,215.88888888888889,93.0,225.0
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-17 02:35:00,2026-07-17 10:20:00,7.75,350,4798.0,100.0,37.0,63.0,127.0,21.457142857142856,77.0,100.0,0.2723377212171711,2.11,213.87142857142857,41.0,201.58730158730157
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-17 11:25:00,2026-07-17 17:45:00,6.333333333333333,340,4925.0,92.0,45.0,47.0,106.0,19.352941176470587,55.0,100.0,0.3908260649064895,2.4876092940813677,214.36764705882354,68.0,225.531914893617
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-18 11:35:00,2026-07-18 18:25:00,6.833333333333333,210,5213.0,81.0,46.0,35.0,82.0,21.452380952380953,70.0,100.0,0.40413922812276165,1.7407182425654073,215.04761904761904,42.0,234.2857142857143
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-19 13:00:00,2026-07-19 18:50:00,5.833333333333333,240,5492.0,78.0,34.0,44.0,113.0,29.520833333333332,73.0,100.0,0.35803712453896175,1.82,202.02083333333334,67.0,256.8181818181818
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-23 11:40:01,2026-07-23 19:15:00,7.583055555555555,375,6351.0,83.0,24.0,59.0,142.0,23.28,67.0,100.0,0.46536162110392854,2.87,219.8,48.0,240.6779661016949
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-23 19:55:00,2026-07-23 23:30:00,3.5833333333333335,130,6493.0,63.0,28.0,35.0,84.0,39.0,78.0,100.0,0.4587298658574033,2.108885961829136,211.15384615384616,52.0,240.0
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-24 20:30:01,2026-07-25 00:45:00,4.249722222222222,225,6864.0,95.0,42.0,53.0,106.0,25.4,74.0,100.0,0.3803490008433024,2.5709531306501874,208.82222222222222,56.0,200.0
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-25 00:55:00,2026-07-25 05:50:00,4.916666666666667,185,6972.0,73.0,41.0,32.0,71.0,22.10810810810811,74.0,100.0,0.27469338699579,1.5731814898478815,206.32432432432432,23.0,221.875
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-25 22:20:00,2026-07-26 03:15:00,4.916666666666667,190,7200.0,73.0,22.0,51.0,99.0,31.973684210526315,76.0,100.0,0.6185328498082195,4.57,208.18421052631578,52.0,194.11764705882354
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-07-26 22:05:00,2026-07-27 02:50:00,4.75,270,7461.0,72.0,21.0,51.0,126.0,34.25925925925926,75.0,100.0,0.25611843086504626,2.38,204.59259259259258,42.0,247.05882352941177
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-08-01 20:10:00,2026-08-02 03:00:00,6.833333333333333,240,9155.0,71.0,25.0,46.0,119.0,28.583333333333332,71.0,100.0,0.36750959247109305,2.15,208.5,241.0,258.69565217391306
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-08-02 03:45:00,2026-08-02 09:25:00,5.666666666666667,335,9274.0,85.0,32.0,53.0,107.0,17.37313432835821,62.0,100.0,0.3534253177249248,2.33,218.56716417910448,75.0,201.8867924528302
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-08-05 00:55:00,2026-08-05 07:05:00,6.166666666666667,340,9913.0,81.0,35.0,46.0,123.0,21.691176470588236,65.0,100.0,0.34163003105132544,1.86,212.98529411764707,55.0,267.39130434782606
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-08-06 15:25:00,2026-08-06 21:25:00,6.0,225,10287.0,84.0,25.0,59.0,128.0,33.08888888888889,68.0,100.0,0.46916307235756854,2.9209758643302757,216.75555555555556,106.0,216.94915254237287
DL52GD9519,tataraw-DL52GD9519-gps-2026-07-08-to-2026-08-07.csv,2026-08-07 10:40:01,2026-08-07 17:05:00,6.416388888888889,260,10598.0,92.0,67.0,25.0,57.0,11.673076923076923,65.0,100.0,0.2385621439765493,1.25,212.42307692307693,241.0,227.99999999999997
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-07 18:30:00,2026-07-07 19:50:00,1.3333333333333333,80,2855.0,43.0,27.0,16.0,42.0,30.5,49.0,100.0,0.5093158503351833,1.6282813024781682,212.1875,22.0,262.5
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-12 10:05:00,2026-07-12 12:15:00,2.1666666666666665,30,3728.0,61.0,53.0,8.0,14.0,20.666666666666668,54.0,100.0,0.8494361837814907,2.3711811402758753,206.16666666666666,5.0,175.0
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-14 13:15:00,2026-07-14 17:35:00,4.333333333333333,125,4200.0,95.0,80.0,15.0,37.0,17.88,49.0,100.0,0.5692570133378929,2.62,213.08,33.0,246.66666666666669
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-15 11:40:00,2026-07-15 18:10:00,6.5,240,4394.0,83.0,47.0,36.0,69.0,17.958333333333332,74.0,100.0,0.4172556022862278,3.62465170740583,206.39583333333334,30.0,191.66666666666669
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-17 12:55:00,2026-07-17 19:45:00,6.833333333333333,275,4821.0,85.0,41.0,44.0,89.0,18.89090909090909,63.0,100.0,0.5580482151641604,2.96,197.8,24.0,202.27272727272728
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-18 12:30:00,2026-07-18 18:35:00,6.083333333333333,235,5034.0,84.0,44.0,40.0,82.0,17.361702127659573,55.0,100.0,0.5363262164196521,2.35,201.29787234042553,54.0,204.99999999999997
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-19 13:45:00,2026-07-19 16:55:00,3.1666666666666665,150,5307.0,89.0,57.0,32.0,74.0,24.8,68.0,100.0,0.6819389946269409,5.0900687618145195,205.16666666666666,53.0,231.25
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-21 14:25:00,2026-07-21 17:40:00,3.25,170,5873.0,91.0,63.0,28.0,78.0,26.5,64.0,100.0,0.6712999779950292,2.41,215.35294117647058,40.0,278.57142857142856
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-25 13:40:00,2026-07-25 15:30:00,1.8333333333333333,90,6791.0,80.0,62.0,18.0,48.0,38.44444444444444,71.0,100.0,0.6350266515292834,2.12,219.88888888888889,75.0,266.66666666666663
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-07-27 02:15:00,2026-07-27 07:45:00,5.5,315,7189.0,69.0,32.0,37.0,80.0,13.682539682539682,55.0,100.0,0.4198901294208194,2.24,216.93650793650792,49.0,216.21621621621622
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-02 07:05:00,2026-08-02 14:40:00,7.583333333333333,325,8795.0,90.0,38.0,52.0,136.0,26.323076923076922,72.0,100.0,0.6097919392064525,3.965955118253357,212.43076923076924,42.0,261.53846153846155
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-03 00:35:00,2026-08-03 08:30:01,7.916944444444445,425,8932.0,90.0,28.0,62.0,151.0,22.529411764705884,68.0,100.0,0.6795329078371689,4.37,209.38823529411764,75.0,243.5483870967742
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-03 20:05:00,2026-08-04 04:00:00,7.916666666666667,320,9245.0,93.0,49.0,44.0,103.0,18.578125,71.0,100.0,0.47822727882469385,1.8210161998181125,216.0,46.0,234.0909090909091
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-04 04:55:00,2026-08-04 08:20:00,3.4166666666666665,50,9348.0,95.0,88.0,7.0,20.0,19.6,44.0,100.0,0.29599175630751584,1.22,219.1,30.0,285.7142857142857
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-04 23:20:01,2026-08-05 04:15:00,4.916388888888889,245,9549.0,93.0,42.0,51.0,111.0,24.387755102040817,73.0,100.0,0.620633295529309,2.4605080776132398,208.24489795918367,47.0,217.6470588235294
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-06 21:25:00,2026-08-07 04:30:00,7.083333333333333,365,9950.0,97.0,35.0,62.0,138.0,22.726027397260275,76.0,100.0,0.6015203290919418,4.152023603015763,207.7123287671233,21.0,222.5806451612903
DL52GD9532,tataraw-DL52GD9532-gps-2026-07-08-to-2026-08-07.csv,2026-08-07 17:20:00,2026-08-07 18:25:01,1.083611111111111,70,10188.0,68.0,58.0,10.0,26.0,20.5,42.0,100.0,0.8629581708341467,2.585207922005501,232.57142857142858,50.0,260.0
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-08 11:45:00,2026-07-08 18:40:01,6.916944444444445,310,3161.0,75.0,29.0,46.0,109.0,15.629032258064516,64.0,100.0,0.32885819493063156,1.38,212.1290322580645,39.0,236.9565217391304
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-09 12:45:00,2026-07-09 17:40:00,4.916666666666667,225,3473.0,60.0,28.0,32.0,74.0,19.733333333333334,63.0,100.0,0.35900999674536327,1.7026156348395254,215.9111111111111,39.0,231.25
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-13 12:00:00,2026-07-13 17:30:01,5.500277777777778,310,4601.0,82.0,37.0,45.0,107.0,22.516129032258064,53.0,100.0,0.3336962001737484,1.9,216.98387096774192,36.0,237.77777777777777
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-14 11:40:00,2026-07-14 17:30:00,5.833333333333333,280,4864.0,83.0,36.0,47.0,105.0,22.553571428571427,65.0,100.0,0.4739475499736131,1.761618573925695,214.26785714285714,55.0,223.40425531914892
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-18 13:05:00,2026-07-18 17:45:00,4.666666666666667,165,5660.0,80.0,54.0,26.0,56.0,18.151515151515152,48.0,100.0,0.297823770324301,1.25,206.12121212121212,48.0,215.3846153846154
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-19 13:05:00,2026-07-19 16:55:00,3.8333333333333335,110,5930.0,70.0,48.0,22.0,44.0,22.09090909090909,53.0,100.0,0.40194833996537666,2.22,206.13636363636363,36.0,200.0
DL52GD9543,tataraw-DL52GD9543-gps-2026-07-08-to-2026-08-07.csv,2026-07-20 12:05:00,2026-07-20 20:00:00,7.916666666666667,340,6137.0,75.0,14.0,61.0,139.0,24.514705882352942,70.0,100.0,0.5452338800279888,3.3549068541466243,212.39705882352942,94.0,227.8688524590164
